BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
3.0,348.0,Commercial,Ahmedabad,1.0,West,4.0,1605.0,1043.0,1.0,Unfurnished,Tenant-Occupied,A-Sola,4.0,Reserved-Basement
4.0,295.0,Residential,Ahmedabad,2.0,East,18.0,1548.0,1602.0,4.0,Semi-Furnished,Self-Occupied,A-Nikol,2.0,Reserved-Parking
3.0,50.0,Commercial,Ahmedabad,10.0,East,20.0,1000.0,800.0,1.0,Semi-Furnished,Empty,A-Ambawadi,2.0,Common-Basement
3.0,180.0,Commercial,Ahmedabad,1.0,East,5.0,1250.0,690.0,1.0,Unfurnished,Self-Occupied,A-Bopal,6.0,Reserved-Basement
3.0,36.0,Commercial,Ahmedabad,10.0,North-East,1.0,443.0,244.0,1.0,Unfurnished,Empty,A-Satellite,4.0,Reserved-Basement
3.0,24.5,Commercial,Ahmedabad,10.0,East,0.5,741.0,481.0,1.0,Unfurnished,Empty,A-Gota,7.0,Reserved-Parking
3.0,75.0,Residential,Ahmedabad,10.0,East,20.0,2115.0,1746.0,4.0,Full-Furnished,Empty,A-New Maninagar ,3.0,Common Parking
3.0,320.0,Commercial,Ahmedabad,2.0,East,0.0,3200.0,2080.0,1.0,Unfurnished,Empty,A-Science City,2.0,Common Parking
2.0,70.5,Residential,Ahmedabad,1.0,East,0.5,1269.0,720.0,2.0,Unfurnished,Empty,A-Paldi,1.0,Reserved-Parking
3.0,150.0,Residential,Ahmedabad,1.0,East,0.5,2000.0,1300.0,3.0,Unfurnished,Self-Occupied,A-Navrangpura,1.0,Reserved-Basement
2.0,53.0,Residential,Ahmedabad,1.0,East,12.0,1089.0,864.0,2.0,Semi-Furnished,Self-Occupied,A-Vasna ,1.0,Common Parking
2.0,45.0,Residential,Ahmedabad,1.0,North,22.0,1350.0,990.0,2.0,Semi-Furnished,Self-Occupied,A-Maninagar,2.0,Common Parking
3.0,155.0,Residential,Ahmedabad,1.0,East,0.5,2430.0,1458.0,3.0,Unfurnished,Empty,A-Paldi,1.0,Common Parking
2.0,70.0,Residential,Ahmedabad,1.0,East,15.0,1035.0,666.0,2.0,Semi-Furnished,Tenant-Occupied,A-Ashram Road,1.0,Common Parking
3.0,61.0,Residential,Ahmedabad,1.0,West,0.5,1550.0,1007.0,3.0,Unfurnished,Empty,A-Vaishnodevi,2.0,Reserved-Parking
3.0,35.0,Commercial,Ahmedabad,10.0,East,0.5,582.0,320.0,1.0,Full-Furnished,Empty,A-SG Highway,4.0,Reserved-Parking
3.0,135.0,Commercial,Pune,3.0,East,3.0,650.0,455.0,1.0,Unfurnished,Empty,P-Balewadi,2.0,Common Parking
3.0,62.0,Commercial,Ahmedabad,1.0,East,8.0,659.0,428.0,1.0,Unfurnished,Empty,A-nana Childoa,2.0,Common Parking
3.0,135.0,Residential,Ahmedabad,1.0,East,20.0,2070.0,1926.0,3.0,Full-Furnished,Self-Occupied,A-Paldi,1.0,Reserved-Parking
3.0,212.0,Commercial,Gandhinagar,10.0,East,6.0,2366.0,1537.0,1.0,Unfurnished,Empty,G-Koba,2.0,Common Parking
2.0,81.0,Residential,Pune,1.0,East,7.0,943.0,731.0,2.0,Unfurnished,Tenant-Occupied,P-Mahalunge,2.0,Reserved-Parking
3.0,135.0,Residential,Ahmedabad,1.0,East,0.5,1782.0,1152.0,3.0,Unfurnished,Empty,A-Naranpura,1.0,Reserved-Basement
3.0,72.0,Commercial,Ahmedabad,1.0,East,25.0,1300.0,1105.0,1.0,Unfurnished,Self-Occupied,A-Ambawadi,1.0,Common Parking
3.0,75.0,Commercial,Ahmedabad,1.0,East,1.0,600.0,561.0,1.0,Semi-Furnished,Tenant-Occupied,A-Ambali,2.0,Common Parking
3.0,145.0,Residential,Pune,1.0,East,9.0,1375.0,1100.0,3.0,Full-Furnished,Self-Occupied,P-Pimple-saudagar,1.0,Reserved-Basement
4.0,330.0,Residential,Ahmedabad,1.0,West,10.0,2750.0,1850.0,4.0,Full-Furnished,Tenant-Occupied,A-Bodakdev,2.0,Reserved-Basement
2.0,75.0,Residential,Ahmedabad,0.0,East,22.0,945.0,874.5,2.0,Semi-Furnished,Self-Occupied,A-Shahibaug,2.0,Reserved-Parking
2.0,60.0,Residential,Ahmedabad,1.0,East,25.0,1125.0,1125.0,2.0,Semi-Furnished,Empty,A-Maninagar,1.0,Common Parking
2.0,68.0,Residential,Ahmedabad,1.0,East,5.0,918.0,639.0,2.0,Semi-Furnished,Self-Occupied,A-Ambawadi,2.0,Reserved-Basement
3.0,117.0,Residential,Pune,1.0,East,1.0,1328.0,996.0,3.0,Unfurnished,Empty,P-Pimpri,1.0,Basement-Parking
2.0,58.0,Residential,Ahmedabad,1.0,North,25.0,1080.0,936.0,2.0,Full-Furnished,Self-Occupied,A-Maninagar,1.0,Common Parking
2.0,20.0,Residential,Ahmedabad,1.0,West,9.0,972.0,630.0,2.0,Unfurnished,Self-Occupied,A-Vatva,1.0,Common Parking
3.0,85.0,Commercial,Ahmedabad,1.0,North,6.0,1417.0,1000.0,1.0,Semi-Furnished,Empty,A-Paldi,2.0,Reserved-Parking
3.0,44.0,Commercial,Ahmedabad,1.0,East,9.0,1215.0,1657.0,1.0,Unfurnished,Tenant-Occupied,A-Changodar,2.0,Common Parking
3.0,50.0,Commercial,Ahmedabad,1.0,North-East,3.0,754.0,490.0,1.0,Full-Furnished,Empty,A-Sola,1.0,Reserved-Parking
2.0,35.0,Residential,Vadodara,1.0,East,5.0,945.0,603.0,2.0,Unfurnished,Empty,B-Vasna Road,1.0,Common Parking
1.0,45.0,Residential,Pune,1.0,East,8.0,320.0,234.0,1.0,Unfurnished,Tenant-Occupied,P-Kothrud,1.0,Common Parking
2.0,45.0,Residential,Ahmedabad,1.0,West,18.0,810.0,648.0,2.0,Semi-Furnished,Self-Occupied,A-Isanpur,2.0,Common Parking
