BHK,Property-Price,Property_Type,City1,Property-On-Floor,Property-Facing,Age-Of-Property,Super-Built-up-Construction-Area,Carpet-Construction-Area,Bathroom,Furniture-Details,Current-Status,Location,No-Of-Lift-Per-Block,Parking-Details
2.0,55.0,Residential,Ahmedabad,5.0,East,17.0,1062.0,873.0,2.0,Semi-Furnished,Self-Occupied,A-Memnagar,1.0,Common Parking
3.0,43.0,Commercial,Ahmedabad,5.0,East,3.0,965.0,627.0,1.0,Unfurnished,Self-Occupied,A-Iscon Ambli road,1.0,Reserved-Basement
2.0,54.0,Residential,Ahmedabad,0.0,South-West,30.0,1215.0,1080.0,1.0,Semi-Furnished,Self-Occupied,A-Bapunagar,2.0,Common Parking
3.0,78.0,Commercial,Ahmedabad,5.0,East,7.0,1090.0,1090.0,1.0,Unfurnished,Empty,A-Satellite,3.0,Reserved-Basement
4.0,200.0,Residential,Ahmedabad,0.0,East,30.0,1215.0,874.5,5.0,Semi-Furnished,Self-Occupied,A-Ambawadi,2.0,Common Parking
3.0,20.0,Commercial,Ahmedabad,1.0,East,20.0,1215.0,85.0,1.0,Semi-Furnished,Empty,A-Paldi,2.0,Common Parking
3.0,110.00000000000001,Commercial,Ahmedabad,5.0,West,1.0,1866.0,1212.0,1.0,Unfurnished,Empty,A-Gota,2.0,Reserved-Parking
3.0,275.0,Residential,Ahmedabad,0.0,East,14.0,2250.0,2025.0,4.0,Full-Furnished,Empty,A-Shela,0.0,Reserved-Parking
3.0,185.0,Residential,Ahmedabad,0.0,East,28.0,2340.0,874.5,4.0,Semi-Furnished,Self-Occupied,A-Thaltej,2.0,Reserved-Parking
3.0,85.0,Commercial,Ahmedabad,0.0,East,18.0,410.0,324.0,1.0,Unfurnished,Tenant-Occupied,A-Shahibaug,2.0,Common Parking
3.0,43.0,Commercial,Ahmedabad,1.0,East,5.0,400.0,300.0,1.0,Unfurnished,Empty,A-Odhav,4.0,Common Parking
4.0,28.0,Residential,Ahmedabad,0.0,East,40.0,1215.0,1350.0,3.0,Semi-Furnished,Tenant-Occupied,A-Chandlodia,0.0,Common Parking
4.0,290.0,Residential,Ahmedabad,3.0,West,40.0,1215.0,3000.0,4.0,Unfurnished,Self-Occupied,A-Kalupur,2.0,Reserved-Parking
1.0,165.0,Residential,Ahmedabad,0.0,East,40.0,1215.0,495.0,1.0,Unfurnished,Self-Occupied,A-Nirnaynagar,2.0,Reserved-Parking
2.0,80.0,Residential,Ahmedabad,0.0,East,10.0,1215.0,1440.0,2.0,Semi-Furnished,Empty,A-Hathijan ,2.0,Reserved-Parking
5.0,550.0,Residential,Ahmedabad,0.0,East,1.0,5328.0,2025.0,3.0,Full-Furnished,Self-Occupied,A-Nikol,2.0,Common Parking
3.0,324.0,Commercial,Ahmedabad,5.0,East,6.0,10823.0,5784.0,1.0,Full-Furnished,Tenant-Occupied,A-Nikol,2.0,Reserved-Basement
3.0,154.0,Commercial,Ahmedabad,1.0,East,24.0,2800.0,2380.0,1.0,Semi-Furnished,Empty,A-Ambawadi,2.0,Common Parking
5.0,270.0,Residential,Ahmedabad,0.0,North,15.0,2880.0,874.5,4.0,Unfurnished,Empty,A-Bopal,2.0,Reserved-Parking
3.0,61.0,Residential,Ahmedabad,2.0,North,25.0,1080.0,648.0,2.0,Semi-Furnished,Self-Occupied,A-Naranpura,2.0,Common Parking
3.0,330.0,Commercial,Ahmedabad,2.0,East,2.0,3322.0,3322.0,1.0,Unfurnished,Tenant-Occupied,A-Sola,2.0,Common Parking
4.0,450.0,Residential,Ahmedabad,0.0,West,40.0,4950.0,4203.0,5.0,Semi-Furnished,Self-Occupied,A-Paldi,2.0,Common Parking
5.0,328.0,Residential,Ahmedabad,0.0,East,30.0,1215.0,874.5,10.0,Semi-Furnished,Tenant-Occupied,A-Paldi,2.0,Reserved-Parking
5.0,97.0,Residential,Ahmedabad,0.0,South,24.0,1845.0,1620.0,4.0,Semi-Furnished,Self-Occupied,A-Kubernagar,2.0,Reserved-Parking
4.0,250.0,Residential,Ahmedabad,2.0,East,5.0,1215.0,3150.0,4.0,Semi-Furnished,Self-Occupied,A-Nikol,2.0,Reserved-Parking
2.0,135.0,Residential,Ahmedabad,2.0,East,30.0,711.0,1260.0,2.0,Unfurnished,Self-Occupied,A-Shahpur,2.0,Common Parking
5.0,807.0,Residential,Ahmedabad,0.0,East,50.0,1215.0,3276.0,4.0,Semi-Furnished,Empty,A-Usmanpura,2.0,Reserved-Parking
5.0,240.0,Residential,Ahmedabad,0.0,East,24.0,2520.0,1800.0,4.0,Full-Furnished,Self-Occupied,A-Ambawadi,2.0,Reserved-Parking
3.0,70.0,Residential,Ahmedabad,3.0,East,15.0,1235.0,988.0,3.0,Semi-Furnished,Self-Occupied,A-Navrangpura,2.0,Common Parking
3.0,88.83,Commercial,Ahmedabad,0.0,South-West,0.5,423.0,274.0,1.0,Unfurnished,Empty,A-Navrangpura,2.0,Common Parking
2.0,70.0,Residential,Ahmedabad,3.0,East,13.0,1224.0,882.0,2.0,Semi-Furnished,Self-Occupied,A-Maninagar,1.0,Common Parking
3.0,480.0,Residential,Ahmedabad,2.0,East,40.0,1215.0,874.5,2.0,Semi-Furnished,Empty,A-Paldi,2.0,Common Parking
5.0,98.0,Residential,Ahmedabad,2.0,South-East,5.0,3600.0,2340.0,6.0,Semi-Furnished,Self-Occupied,A-Shahpur,2.0,Common Parking
4.0,175.0,Residential,Ahmedabad,2.0,East,20.0,1485.0,2430.0,3.0,Semi-Furnished,Self-Occupied,A-Amraiwadi,2.0,Reserved-Parking
4.0,110.00000000000001,Residential,Ahmedabad,0.0,East,4.0,2250.0,1458.0,4.0,Unfurnished,Empty,A-Bopal,2.0,Common Parking
3.0,120.0,Residential,Ahmedabad,20.0,East,18.0,1125.0,1053.0,3.0,Semi-Furnished,Tenant-Occupied,A-Ghuma,2.0,Reserved-Parking
3.0,80.0,Commercial,Ahmedabad,0.0,East,35.0,400.0,250.0,1.0,Unfurnished,Empty,A-Navrangpura,2.0,Common Parking
3.0,80.0,Commercial,Ahmedabad,1.0,North-West,20.0,400.0,340.0,1.0,Unfurnished,Self-Occupied,A-Ambawadi,2.0,Common Parking
2.0,25.0,Residential,Ahmedabad,2.0,South,30.0,900.0,567.0,1.0,Unfurnished,Empty,A-Maninagar,2.0,Common Parking
1.0,40.0,Residential,Ahmedabad,1.0,East,35.0,431.0,431.0,2.0,Semi-Furnished,Self-Occupied,A-Nava Vadaj,0.0,Common Parking
3.0,234.0,Commercial,Ahmedabad,2.0,East,7.0,3125.0,2031.0,1.0,Full-Furnished,Empty,A-Chandkheda,3.0,Reserved-Parking
3.0,100.0,Residential,Gandhinagar,0.0,East,0.5,2205.0,874.5,4.0,Unfurnished,Self-Occupied,G-Randheja,2.0,Reserved-Parking
3.0,95.0,Residential,Gandhinagar,0.0,East,0.5,2205.0,1440.0,4.0,Unfurnished,Self-Occupied,G-Randheja,2.0,Reserved-Parking
3.0,152.0,Commercial,Ahmedabad,6.0,East,0.5,3180.0,1685.0,1.0,Unfurnished,Empty,A-Nava Naroda,4.0,Common Parking
3.0,154.0,Residential,Ahmedabad,6.0,East,1.0,2160.0,1188.0,3.0,Full-Furnished,Self-Occupied,A-Gota,2.0,Reserved-Parking
3.0,75.0,Commercial,Ahmedabad,6.0,North-East,17.0,1550.0,1250.0,1.0,Semi-Furnished,Empty,A-Navrangpura,2.0,Common-Basement
4.0,475.0,Residential,Ahmedabad,6.0,East,2.0,2940.0,2285.0,5.0,Full-Furnished,Self-Occupied,A-Ellisbridge,3.0,Reserved-Parking
3.0,90.0,Residential,Ahmedabad,6.0,East,2.0,1611.0,900.0,3.0,Full-Furnished,Self-Occupied,A-Chandkheda,2.0,Reserved-Parking
2.0,72.0,Residential,Ahmedabad,6.0,North,5.0,900.0,4995.0,2.0,Semi-Furnished,Self-Occupied,A-Sarkhej,2.0,Common Parking
5.0,185.0,Residential,Gandhinagar,6.0,East,0.5,4248.0,2205.0,5.0,Unfurnished,Empty,G-Koba,2.0,Reserved-Basement
3.0,80.0,Residential,Ahmedabad,6.0,East,30.0,1350.0,1170.0,2.0,Full-Furnished,Empty,A-Naranpura,2.0,Common Parking
3.0,70.0,Residential,Ahmedabad,6.0,East,3.0,1650.0,847.0,3.0,Unfurnished,Self-Occupied,A-Bopal,2.0,Common Parking
3.0,229.0,Commercial,Ahmedabad,2.0,East,15.0,3264.0,874.5,2.0,Full-Furnished,Tenant-Occupied,A-Nava Vadaj,2.0,Common Parking
3.0,180.0,Residential,Ahmedabad,0.0,South-West,30.0,1638.0,1386.0,4.0,Semi-Furnished,Tenant-Occupied,A-Ghatlodia,2.0,Common Parking
3.0,40.0,Commercial,Pune,6.0,East,1.0,600.0,415.0,1.0,Unfurnished,Empty,P-Wakad,2.0,Common-Basement
3.0,58.0,Commercial,Ahmedabad,6.0,East,2.0,768.0,461.0,1.0,Unfurnished,Tenant-Occupied,A-Sola,4.0,Reserved-Basement
3.0,58.0,Commercial,Ahmedabad,6.0,East,0.5,684.0,444.0,1.0,Unfurnished,Self-Occupied,A-Naranpura,5.0,Common-Basement
3.0,34.0,Commercial,Ahmedabad,6.0,East,6.0,965.0,690.0,1.0,Unfurnished,Self-Occupied,A-Gurukul ,4.0,Reserved-Parking
3.0,114.99999999999999,Residential,Ahmedabad,0.0,East,40.0,1215.0,1350.0,4.0,Semi-Furnished,Self-Occupied,A-Ranip,2.0,Common Parking
3.0,72.0,Commercial,Ahmedabad,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Self-Occupied,A-Satellite,2.0,Common Parking
3.0,30.0,Commercial,Ahmedabad,6.0,East,1.0,800.0,520.0,1.0,Unfurnished,Empty,A-Sola,13.0,Reserved-Parking
5.0,375.0,Residential,Ahmedabad,0.0,West,7.0,3240.0,874.5,5.0,Semi-Furnished,Empty,A-Shela,2.0,Reserved-Parking
3.0,36.0,Commercial,Ahmedabad,6.0,East,0.0,496.0,322.0,2.0,Unfurnished,Empty,A-Ashram Road,2.0,Common Parking
3.0,58.0,Residential,Ahmedabad,0.0,East,4.0,1620.0,1395.0,4.0,Unfurnished,Empty,A-Sanand,2.0,Reserved-Parking
4.0,215.0,Residential,Ahmedabad,0.0,East,1.0,2700.0,874.5,4.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Reserved-Parking
3.0,88.0,Residential,Ahmedabad,2.0,West,11.0,1530.0,1530.0,3.0,Semi-Furnished,Empty,A-Ghuma,2.0,Reserved-Parking
3.0,160.0,Residential,Gandhinagar,0.0,East,15.0,1215.0,1620.0,2.0,Semi-Furnished,Self-Occupied,G-Sector 6B,2.0,Common Parking
4.0,250.0,Residential,Ahmedabad,1.0,East,8.0,2700.0,874.5,5.0,Full-Furnished,Empty,A-Sanand,2.0,Common Parking
5.0,170.0,Residential,Ahmedabad,3.0,East,25.0,1215.0,1800.0,3.0,Semi-Furnished,Self-Occupied,A-Vasna ,2.0,Reserved-Parking
3.0,171.0,Residential,Ahmedabad,0.0,East,30.0,1530.0,874.5,3.0,Semi-Furnished,Tenant-Occupied,A-Nikol,2.0,Common Parking
2.0,300.0,Residential,Ahmedabad,0.0,West,30.0,1215.0,1152.0,2.0,Semi-Furnished,Self-Occupied,A-Ranip,2.0,Reserved-Parking
2.0,45.0,Residential,Ahmedabad,2.0,East,8.0,900.0,765.0,2.0,Semi-Furnished,Self-Occupied,A-Naranpura,2.0,Reserved-Parking
3.0,83.0,Residential,Ahmedabad,3.0,South,25.0,1080.0,900.0,2.0,Full-Furnished,Self-Occupied,A-Maninagar,1.0,Common Parking
3.0,225.0,Residential,Ahmedabad,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Empty,A-Vastrapur,2.0,Reserved-Parking
3.0,249.00000000000003,Commercial,Ahmedabad,1.0,East,8.0,2270.0,1456.0,1.0,Unfurnished,Empty,A-Nava Vadaj,2.0,Common Parking
5.0,375.0,Residential,Ahmedabad,0.0,North,50.0,4500.0,874.5,3.0,Semi-Furnished,Self-Occupied,A-Maninagar,2.0,Reserved-Parking
3.0,130.0,Commercial,Ahmedabad,1.0,East,0.0,1215.0,632.0,1.0,Unfurnished,Empty,A-Zundal,2.0,Reserved-Parking
4.0,345.0,Residential,Ahmedabad,2.0,East,17.0,2160.0,2160.0,4.0,Unfurnished,Tenant-Occupied,A-Nikol,2.0,Reserved-Parking
1.0,26.0,Residential,Ahmedabad,2.0,North,25.0,810.0,874.5,1.0,Unfurnished,Empty,A-Isanpur,2.0,Common Parking
2.0,58.0,Residential,Ahmedabad,2.0,North,30.0,1170.0,990.0,2.0,Full-Furnished,Self-Occupied,A-Ambawadi,2.0,Reserved-Parking
4.0,260.0,Residential,Ahmedabad,0.0,South-East,17.0,3249.0,874.5,5.0,Semi-Furnished,Self-Occupied,B-Vadsar,2.0,Reserved-Parking
3.0,350.0,Residential,Pune,4.0,East,20.0,1600.0,3025.0,3.0,Semi-Furnished,Tenant-Occupied,P-Kawade,1.0,Reserved-Parking
3.0,150.0,Residential,Ahmedabad,0.0,South-East,10.0,2025.0,1314.0,3.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Reserved-Parking
4.0,25.0,Residential,Ahmedabad,0.0,East,12.0,272.0,874.5,4.0,Semi-Furnished,Empty,A-Adalaj,0.0,Common Parking
2.0,44.0,Residential,Ahmedabad,7.0,West,0.5,1240.0,806.0,2.0,Unfurnished,Empty,A-Ghuma,1.0,Common Parking
3.0,79.0,Residential,Ahmedabad,7.0,East,0.0,1755.0,990.0,3.0,Unfurnished,Empty,A-Gota,2.0,Reserved-Parking
4.0,229.99999999999997,Residential,Ahmedabad,7.0,North,0.0,3355.0,1845.0,4.0,Unfurnished,Empty,A-Navrangpura,2.0,Reserved-Parking
3.0,270.0,Commercial,Ahmedabad,7.0,East,25.0,3260.0,2511.0,3.0,Full-Furnished,Self-Occupied,A-Navrangpura,3.0,Reserved-Basement
3.0,95.0,Residential,Ahmedabad,7.0,East,1.0,1710.0,945.0,3.0,Semi-Furnished,Empty,A-Maninagar,2.0,Reserved-Basement
2.0,55.0,Residential,Ahmedabad,7.0,East,4.0,1098.0,756.0,2.0,Unfurnished,Empty,A-Nava Vadaj,1.0,Common Parking
3.0,290.0,Commercial,Ahmedabad,7.0,East,4.0,2942.0,1692.0,1.0,Unfurnished,Empty,A-Sabarmati,3.0,Reserved-Basement
3.0,132.0,Residential,Ahmedabad,7.0,North,4.0,2070.0,874.5,3.0,Semi-Furnished,Tenant-Occupied,A-Science City,2.0,Reserved-Parking
3.0,80.0,Residential,Vadodara,7.0,East,15.0,1750.0,1137.0,3.0,Full-Furnished,Tenant-Occupied,B-Karelibaug,2.0,Reserved-Parking
2.0,60.0,Residential,Ahmedabad,7.0,North,1.0,1350.0,810.0,2.0,Unfurnished,Empty,A-Bhadaj,2.0,Reserved-Basement
3.0,29.0,Commercial,Ahmedabad,7.0,East,1.0,810.0,526.0,1.0,Unfurnished,Empty,A-Science City,1.0,Reserved-Parking
3.0,175.0,Residential,Ahmedabad,0.0,East,7.0,2250.0,1530.0,4.0,Full-Furnished,Self-Occupied,A-Bopal,2.0,Reserved-Parking
3.0,240.0,Residential,Ahmedabad,0.0,East,25.0,2250.0,874.5,2.0,Unfurnished,Tenant-Occupied,A-Nikol,2.0,Common Parking
3.0,87.0,Residential,Ahmedabad,0.0,West,11.0,1215.0,1800.0,3.0,Semi-Furnished,Self-Occupied,A-Ghuma,2.0,Common Parking
2.0,110.00000000000001,Residential,Ahmedabad,0.0,East,22.0,1215.0,909.0,2.0,Semi-Furnished,Self-Occupied,A-Ranip,2.0,Reserved-Parking
3.0,140.0,Commercial,Ahmedabad,7.0,East,3.0,1970.0,1280.0,1.0,Unfurnished,Tenant-Occupied,A-Sola,4.0,Reserved-Basement
3.0,57.0,Commercial,Ahmedabad,7.0,North-East,3.0,745.0,447.0,1.0,Unfurnished,Empty,A-Sola,8.0,Reserved-Parking
3.0,82.5,Commercial,Ahmedabad,7.0,North,28.0,1375.0,1168.0,1.0,Full-Furnished,Self-Occupied,A-Navrangpura,2.0,Reserved-Parking
4.0,260.0,Residential,Ahmedabad,0.0,East,18.0,1215.0,1377.0,3.0,Unfurnished,Self-Occupied,A-Shahpur,2.0,Reserved-Parking
3.0,60.0,Residential,Ahmedabad,2.0,East,10.0,630.0,1260.0,2.0,Full-Furnished,Self-Occupied,A-Naroda,2.0,Common Parking
4.0,114.99999999999999,Residential,Ahmedabad,0.0,East,9.0,1062.0,1575.0,5.0,Full-Furnished,Empty,A-Ghatlodia,2.0,Reserved-Parking
2.0,30.0,Residential,Ahmedabad,3.0,West,50.0,1457.0,874.5,3.0,Semi-Furnished,Self-Occupied,A-Bapunagar,2.0,Common Parking
3.0,87.03,Residential,Ahmedabad,0.0,East,1.0,2484.0,1611.0,4.0,Unfurnished,Empty,A-Kasindra,2.0,Reserved-Parking
3.0,85.0,Residential,Ahmedabad,2.0,East,35.0,1215.0,1440.0,3.0,Semi-Furnished,Empty,A-Paldi,2.0,Common Parking
5.0,355.0,Residential,Ahmedabad,0.0,East,15.0,2385.0,3195.0,3.0,Semi-Furnished,Self-Occupied,A-SG Highway,2.0,Reserved-Parking
4.0,160.0,Residential,Ahmedabad,2.0,East,10.0,2430.0,1620.0,3.0,Unfurnished,Tenant-Occupied,A-SG Highway,2.0,Reserved-Parking
3.0,35.0,Residential,Ahmedabad,0.0,South-West,30.0,1215.0,1404.0,3.0,Unfurnished,Self-Occupied,A-Vasna ,2.0,Common Parking
1.0,38.0,Residential,Ahmedabad,4.0,East,28.0,1215.0,423.0,1.0,Semi-Furnished,Self-Occupied,A-Naranpura,1.0,Common Parking
4.0,198.0,Residential,Ahmedabad,0.0,East,30.0,1548.0,874.5,2.0,Unfurnished,Self-Occupied,A-Nava Vadaj,2.0,Common Parking
2.0,50.0,Residential,Ahmedabad,2.0,North,20.0,990.0,828.0,2.0,Semi-Furnished,Empty,A-Maninagar,1.0,Common Parking
3.0,27.0,Commercial,Ahmedabad,1.0,East,2.0,550.0,357.0,1.0,Semi-Furnished,Empty,A-Shilaj,2.0,Common Parking
3.0,350.0,Commercial,Ahmedabad,0.0,East,4.0,2044.0,1328.0,1.0,Unfurnished,Tenant-Occupied,A-Naroda,2.0,Reserved-Parking
3.0,63.0,Residential,Ahmedabad,0.0,East,0.5,1215.0,1791.0,3.0,Unfurnished,Empty,A-Lambha,2.0,Common-Basement
4.0,561.0,Residential,Ahmedabad,3.0,East,10.0,3735.0,3330.0,5.0,Full-Furnished,Empty,A-Science City,2.0,Reserved-Parking
4.0,500.0,Residential,Ahmedabad,0.0,South,30.0,4050.0,874.5,2.0,Full-Furnished,Self-Occupied,A-Paldi,2.0,Reserved-Basement
2.0,40.0,Residential,Ahmedabad,3.0,East,25.0,990.0,846.0,1.0,Semi-Furnished,Tenant-Occupied,A-Maninagar,1.0,Common Parking
3.0,80.0,Commercial,Ahmedabad,3.0,East,9.0,750.0,678.0,1.0,Semi-Furnished,Self-Occupied,A-Nikol,2.0,Common-Basement
5.0,598.0,Residential,Ahmedabad,0.0,East,13.0,2340.0,1872.0,5.0,Unfurnished,Self-Occupied,A-Thaltej,2.0,Common Parking
2.0,60.0,Residential,Ahmedabad,1.0,East,35.0,1170.0,1080.0,2.0,Semi-Furnished,Self-Occupied,A-Gurukul ,2.0,Reserved-Parking
2.0,65.0,Residential,Pune,4.0,East,10.0,894.0,688.0,2.0,Semi-Furnished,Empty,P-Walhekarwadi,1.0,Reserved-Parking
4.0,400.0,Residential,Ahmedabad,0.0,East,38.0,1350.0,1620.0,3.0,Full-Furnished,Self-Occupied,A-Maninagar,2.0,Reserved-Parking
1.0,60.0,Residential,Ahmedabad,2.0,North,10.0,1215.0,874.5,1.0,Unfurnished,Empty,A-Vastral,0.0,Common Parking
3.0,150.0,Commercial,Vadodara,1.0,East,13.0,1602.0,1197.0,1.0,Unfurnished,Self-Occupied,B-Aklkapuri,2.0,Common-Basement
3.0,75.0,Residential,Ahmedabad,8.0,East,25.0,1620.0,1170.0,3.0,Full-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
2.0,45.0,Residential,Ahmedabad,8.0,South,25.0,1017.0,810.0,2.0,Unfurnished,Self-Occupied,A-Vasna ,2.0,Common Parking
3.0,93.5,Commercial,Ahmedabad,8.0,East,25.0,1700.0,1300.0,1.0,Full-Furnished,Self-Occupied,A-Ambawadi,2.0,Common-Basement
3.0,90.0,Commercial,Ahmedabad,8.0,East,20.0,2300.0,874.5,1.0,Full-Furnished,Empty,A-SG Highway,1.0,Reserved-Parking
3.0,124.0,Commercial,Ahmedabad,8.0,East,9.0,1652.0,991.0,1.0,Semi-Furnished,Empty,A-Nava Vadaj,3.0,Common-Basement
3.0,34.0,Commercial,Ahmedabad,8.0,East,0.5,362.0,874.5,1.0,Unfurnished,Tenant-Occupied,A-Satellite,1.0,Basement-Parking
3.0,60.0,Residential,Ahmedabad,8.0,East,20.0,870.0,874.5,1.0,Unfurnished,Empty,A-Navrangpura,2.0,Common-Basement
3.0,25.0,Commercial,Ahmedabad,8.0,East,1.0,575.0,373.0,1.0,Unfurnished,Empty,A-Satellite,5.0,Reserved-Basement
5.0,180.0,Residential,Ahmedabad,0.0,East,8.0,3150.0,874.5,5.0,Semi-Furnished,Self-Occupied,A-Subhash Bridge,2.0,Reserved-Parking
3.0,8.0,Residential,Ahmedabad,2.0,East,8.0,1215.0,874.5,2.0,Semi-Furnished,Empty,A-Bavla,2.0,Common Parking
1.0,96.0,Residential,Ahmedabad,0.0,East,15.0,765.0,612.0,1.0,Semi-Furnished,Self-Occupied,A-Nikol,2.0,Reserved-Parking
2.0,30.0,Residential,Surat,0.0,East,2.0,819.0,874.5,4.0,Semi-Furnished,Self-Occupied,S-Palsana,2.0,Common Parking
4.0,150.0,Residential,Ahmedabad,0.0,East,9.0,1215.0,2250.0,4.0,Semi-Furnished,Self-Occupied,A-Chandkheda,2.0,Reserved-Parking
3.0,130.0,Residential,Ahmedabad,0.0,East,5.0,2160.0,1404.0,4.0,Unfurnished,Tenant-Occupied,A-Naranpura,2.0,Common Parking
3.0,70.0,Residential,Ahmedabad,0.0,East,7.0,1215.0,1224.0,4.0,Unfurnished,Empty,A-Sanand,2.0,Reserved-Basement
4.0,270.0,Residential,Ahmedabad,0.0,North-East,22.0,3375.0,2862.0,5.0,Unfurnished,Tenant-Occupied,A-Memnagar,2.0,Reserved-Parking
2.0,60.0,Residential,Ahmedabad,0.0,West,12.0,1215.0,1404.0,2.0,Semi-Furnished,Self-Occupied,A-Nava Vadaj,2.0,Common-Basement
3.0,114.99999999999999,Residential,Pune,3.0,North-East,12.0,1800.0,1325.0,4.0,Full-Furnished,Self-Occupied,P-Ambegaon,2.0,Reserved-Parking
3.0,77.0,Commercial,Ahmedabad,0.0,North,25.0,700.0,650.0,1.0,Full-Furnished,Self-Occupied,A-Paldi,2.0,Common Parking
3.0,105.0,Residential,Vadodara,0.0,North-West,7.0,2000.0,1300.0,3.0,Full-Furnished,Self-Occupied,B-Atladara,2.0,Reserved-Parking
5.0,1000.0,Residential,Ahmedabad,0.0,North,23.0,1215.0,4500.0,7.0,Full-Furnished,Empty,A-Satellite,2.0,Reserved-Parking
3.0,74.0,Commercial,Ahmedabad,2.0,East,10.0,725.0,400.0,1.0,Semi-Furnished,Empty,A-Satellite,1.0,Common-Basement
4.0,245.00000000000003,Residential,Ahmedabad,0.0,South-East,13.0,2700.0,2160.0,5.0,Full-Furnished,Self-Occupied,A-Bopal,2.0,Reserved-Parking
4.0,130.0,Residential,Ahmedabad,1.0,East,35.0,1404.0,2196.0,3.0,Full-Furnished,Self-Occupied,A-Vatva,2.0,Common Parking
3.0,80.0,Commercial,Ahmedabad,4.0,East,22.0,930.0,790.0,1.0,Full-Furnished,Empty,A-Satellite,1.0,Common-Basement
3.0,18.0,Residential,Ahmedabad,0.0,East,3.0,1827.0,1026.0,3.0,Unfurnished,Self-Occupied,A-Kasindra,0.0,Common Parking
1.0,33.0,Residential,Vadodara,1.0,East,9.0,684.0,432.0,1.0,Semi-Furnished,Tenant-Occupied,B-Waghodia Road,2.0,Reserved-Parking
3.0,65.0,Commercial,Ahmedabad,0.0,East,8.0,472.0,250.0,1.0,Unfurnished,Empty,A-Chandkheda,2.0,Reserved-Parking
3.0,90.0,Residential,Ahmedabad,1.0,East,0.0,2070.0,1341.0,3.0,Unfurnished,Empty,A-Zundal,2.0,Reserved-Parking
3.0,43.0,Commercial,Ahmedabad,2.0,West,8.0,1215.0,260.0,1.0,Semi-Furnished,Self-Occupied,A-Satellite,2.0,Common Parking
3.0,40.0,Residential,Ahmedabad,0.0,East,8.0,1035.0,874.5,3.0,Unfurnished,Empty,G-Dahegam,2.0,Reserved-Parking
1.0,32.0,Residential,Ahmedabad,2.0,North,31.0,1215.0,585.0,1.0,Semi-Furnished,Self-Occupied,A-Ghatlodia,2.0,Common Parking
1.0,25.0,Residential,Ahmedabad,2.0,East,25.0,666.0,558.0,1.0,Unfurnished,Tenant-Occupied,A-Vejalpur,2.0,Common Parking
3.0,225.0,Commercial,Ahmedabad,1.0,North-East,8.0,5517.0,874.5,1.0,Semi-Furnished,Self-Occupied,A-Naroda,2.0,Reserved-Parking
3.0,49.0,Commercial,Ahmedabad,2.0,East,7.0,1215.0,874.5,1.0,Semi-Furnished,Empty,A-Odhav,2.0,Reserved-Parking
3.0,120.0,Commercial,Ahmedabad,9.0,East,30.0,1564.0,1329.0,1.0,Semi-Furnished,Empty,A-Shahibaug,3.0,Common Parking
4.0,300.0,Residential,Ahmedabad,9.0,East,0.5,4050.0,2200.0,4.0,Unfurnished,Self-Occupied,A-Navrangpura,4.0,Reserved-Basement
4.0,290.0,Residential,Ahmedabad,9.0,East,20.0,3375.0,2700.0,4.0,Semi-Furnished,Empty,A-Ambawadi,2.0,Reserved-Parking
3.0,80.0,Residential,Ahmedabad,9.0,East,5.0,1512.0,990.0,3.0,Full-Furnished,Self-Occupied,A-Chandkheda,3.0,Reserved-Parking
3.0,165.0,Residential,Ahmedabad,2.0,West,13.0,1179.0,1413.0,4.0,Full-Furnished,Self-Occupied,A-Nikol,2.0,Reserved-Parking
3.0,65.0,Residential,Ahmedabad,0.0,North-East,8.0,1080.0,874.5,3.0,Unfurnished,Empty,A-Sanand,2.0,Reserved-Parking
2.0,58.0,Residential,Ahmedabad,0.0,East,26.0,810.0,675.0,2.0,Full-Furnished,Self-Occupied,A-Naranpura,2.0,Common Parking
3.0,36.0,Commercial,Ahmedabad,0.0,North-East,30.0,1215.0,650.0,1.0,Full-Furnished,Empty,A-Navrangpura,2.0,Common-Basement
3.0,110.00000000000001,Commercial,Ahmedabad,2.0,North-East,1.0,3735.0,874.5,1.0,Unfurnished,Empty,A-Odhav,2.0,Reserved-Parking
3.0,110.00000000000001,Commercial,Ahmedabad,1.0,North-East,1.0,3870.0,874.5,1.0,Unfurnished,Tenant-Occupied,A-Odhav,2.0,Reserved-Parking
3.0,37.0,Commercial,Ahmedabad,1.0,East,1.0,1215.0,513.0,1.0,Unfurnished,Empty,A-Odhav,2.0,Common Parking
1.0,30.0,Residential,Ahmedabad,0.0,West,40.0,1215.0,720.0,1.0,Unfurnished,Self-Occupied,A-Naroda,2.0,Common Parking
4.0,225.0,Residential,Ahmedabad,0.0,North,15.0,1800.0,1575.0,3.0,Semi-Furnished,Tenant-Occupied,A-New Ranip,2.0,Reserved-Parking
4.0,125.0,Residential,Ahmedabad,1.0,North,40.0,1215.0,2700.0,3.0,Full-Furnished,Self-Occupied,A-Naranpura,2.0,Common Parking
3.0,250.0,Residential,Ahmedabad,0.0,East,13.0,2070.0,874.5,3.0,Full-Furnished,Self-Occupied,A-Shela,2.0,Reserved-Parking
