Tag,Property-Price,Location,BHK,Carpet-Construction-Area,Service_Expiry_Date
3-2-6-silver-nest-ambawadi-oct24_277,70.0,A-Ambawadi,2.0,630.0,2025-05-05
30-niharika-bunglows-ambawadi-march25_281,310.0,A-Ambawadi,4.0,1755.0,2025-05-29
30-safalam-greens-kasindra-jan25_282,70.0,A-Kasindra,2.0,756.0,2025-07-24
302-shrushri-riddhi-apartment-vejalpur-feb25_293,23.0,A-Vejalpur,1.0,558.0,2025-04-06
304-305-306-ganesh-plaza--paldi-dec24_301,22.0,A-Paldi,3.0,220.0,2025-06-10
"315-kayakalp-complex-naroda-sep24,_323",42.0,A-Naroda,3.0,550.0,2024-12-20
33-34-shiv-industrical-park-changodar-jan24_324,130.0,A-Changodar,3.0,81000.0,2025-07-07
331-taranga-hill-society-nirnaynagar-dec24_327,65.0,A-Nirnaynagar,5.0,872.0,2025-06-22
347-krupal-pathshala-ashram-raod-sep24_333,35.5,A-Ashram Road,3.0,322.0,2025-01-14
35-janakpuri-society-ghodasar-oct24_334,77.0,A-Ghodasar,1.0,900.0,2025-05-05
35-rameshwar-bunglows-11-kasindra-march25_335,110.00000000000001,A-Kasindra,3.0,1359.0,2025-07-29
36-neminath-society-nehrunagar-may25_337,15.0,A-Nehru Nagar Ambawadi,2.0,1350.0,2025-07-05
36-siddhi-vinayak-greens-kasindra-dec24_340,138.0,A-Kasindra,2.0,872.0,2025-02-19
376-1-9-duplex-market-naroda-dec24_344,35.0,A-Naroda,3.0,155.0,2025-04-13
39-shivam-industrial-estate-dec24_346,48.0,A-Changodar,3.0,872.0,2025-04-19
4-chandrabhaga-society-nava-vadaj-nov24_351,550.0,A-Nava Vadaj,4.0,872.0,2025-05-23
4-samruddham-nest-chandkheda-dec24_354,170.0,A-Chandkheda,4.0,2520.0,2025-04-19
4-shyamkrupa-society-bopal-feb25_357,155.0,A-Bopal,3.0,1620.0,2025-08-14
4-skywalk-mangalam-chandkheda-sep24_358,90.0,A-Chandkheda,3.0,354.0,2024-11-23
4-vatrika-villa-dahegam-jan25_362,150.0,G-Dahegam,4.0,1386.0,2025-07-13
40-kedaram-villa-vatva-dec24_364,101.0,A-Vatva,3.0,872.0,2025-06-18
40-shyam-kutir-56-naroda-oct24_368,409.99999999999994,A-Naroda,4.0,872.0,2025-04-08
402-panchratna-apartment-sarkhej-may25_377,16.0,A-Sarkhej,2.0,872.0,2025-08-02
402-shail's-mall-navrangpura-sep24_379,155.0,A-Navrangpura,3.0,1089.0,2025-03-11
402-shatak-residency-usmanpura-nov24_380,120.0,A-Usmanpura,3.0,1107.0,2025-06-02
41-ekta-tower-vasna-jan25_392,45.0,A-Vasna,2.0,765.0,2025-05-19
46-2-jeet-66-society-mota-chiloda-oct24_402,87.0,G-Mota Chiloda,3.0,945.0,2025-01-05
46-rameshwar-bunglows-rent-kasindra-nov24_404,20.0,A-Kasindra,4.0,872.0,2025-01-12
5-ff-sidhdhivinayak-flat-bopal-oct24_411,27.51,A-Bopal,1.0,585.0,2025-01-05
5-shalin-heights-vinzol-sept24_414,43.0,A-Hathijan,2.0,756.0,2025-03-29
5-4-carolina-society-ghuma-march25_417,150.0,A-Ghuma,4.0,1521.0,2025-05-16
"50-deep-bungalows-singarva-oct24,_419",130.0,A-Odhav,4.0,972.0,2025-05-05
506-507-krish-elite-nikol-nov24_431,42.0,A-Nikol,3.0,500.0,2025-01-20
51-sai-homes-kasindra-nov24_435,60.0,A-Kasindra,2.0,837.0,2025-03-29
51-umang-homes-row-house-naroda-jun25_436,17.0,A-Naroda,2.0,882.0,2025-08-07
52-anjana-park-society-bapunagar-aug24_439,54.0,A-Bapunagar,2.0,1080.0,2025-01-04
545-money-plant-high-street-gota-sep24_443,110.00000000000001,A-Gota,3.0,1212.0,2025-03-06
55-prakruti-homes-shela-feb25_444,275.0,A-Shela,3.0,2025.0,2025-08-12
57-ranchodray-nagar-part-3-chandlodia-feb25_448,28.0,A-Chandlodia,4.0,1350.0,2025-08-14
58-svayam-villa-hathijan-feb25_451,80.0,A-Hathijan,2.0,1440.0,2025-06-14
6-rykon-navrangpura-jan25_462,88.83,A-Navrangpura,3.0,274.0,2025-07-28
601-602-star-empire-nava-naroda-dec24_469,152.0,A-Nava Naroda,3.0,1685.0,2025-06-29
608-609-leelamani-heritage-height-nava-vadaj-dec24_475,229.0,A-Nava Vadaj,3.0,872.0,2025-06-25
64-florish-sky-city-shela-oct24_480,375.0,A-Shela,5.0,872.0,2025-05-05
646-b-krupal-pathshala-sep24_481,36.0,A-Ashram Road,3.0,322.0,2025-01-14
675-2-sector-3-c-tenament-sector-3-feb25_483,160.0,G-Sector 6B,3.0,1620.0,2025-07-13
69-mayur-park-society-nikol-oct24_486,171.0,A-Nikol,3.0,872.0,2025-05-05
7-shree-krishna-apartment-isanpur-feb25_493,26.0,A-Isanpur,1.0,872.0,2025-04-26
"7-simit-apartment-ambawadi-dec24,_494",58.0,A-Ambawadi,2.0,990.0,2025-06-02
7-sparsh-co-opp-housing-society-vadsar-nov24_495,260.0,B-Vadsar,4.0,872.0,2025-05-10
701-akshar-elite-ghuma-april25_497,44.0,A-Ghuma,2.0,806.0,2025-07-29
701-rajshree-samvar-2-navrangpura-jan25_499,229.99999999999997,A-Navrangpura,4.0,1845.0,2025-07-17
