expired_tag,rejection_reasons
88-shailganga-tenament-chandkheda-dec24_543,"Price 150.0 outside [270.00, 630.00]; Distance 12.39 km (A-Vaishnodevi to A-Chandkheda) > 6.0 km; Distance 8.09 km (A-Science City to A-Chandkheda) > 6.0 km; Distance 17.67 km (A-Shela to A-Chandkheda) > 6.0 km; Distance 16.15 km (A-Ghuma to A-Chandkheda) > 6.0 km; Distance 14.99 km (A-Bopal to A-Chandkheda) > 6.0 km; Price 150.0 outside [22.20, 51.80]; Distance 11.11 km (A-Paldi to A-Chandkheda) > 6.0 km; Distance 521.02 km (P-Lohegaon to A-Chandkheda) > 6.0 km; Price 150.0 outside [39.00, 91.00]; Price 150.0 outside [177.00, 413.00]; Distance 13.22 km (A-Amraiwadi to A-Chandkheda) > 6.0 km; Price 150.0 outside [42.00, 98.00]; Distance 8.35 km (A-Naroda to A-Chandkheda) > 6.0 km; Price 150.0 outside [58.20, 135.80]; Price 150.0 outside [46.20, 107.80]; Distance 11.57 km (A-kankaria to A-Chandkheda) > 6.0 km; Distance 20.59 km (A-Hathijan to A-Chandkheda) > 6.0 km; Distance 7.19 km (A-Kubernagar to A-Chandkheda) > 6.0 km; Price 150.0 outside [210.00, 490.00]; Price 150.0 outside [39.60, 92.40]; Price 150.0 outside [375.00, 875.00]; Price 150.0 outside [195.00, 455.00]; Price 150.0 outside [48.00, 112.00]; Distance 516.20 km (P-Rahatani to A-Chandkheda) > 6.0 km; Price 150.0 outside [168.00, 392.00]; Distance 11.15 km (A-Satellite to A-Chandkheda) > 6.0 km; Distance 10.91 km (A-Nikol to A-Chandkheda) > 6.0 km; Price 150.0 outside [57.00, 133.00]; Distance 12.35 km (A-Vasna to A-Chandkheda) > 6.0 km; Distance 15.18 km (A-Ghodasar to A-Chandkheda) > 6.0 km; Distance 9.13 km (A-Bapunagar to A-Chandkheda) > 6.0 km; Distance 12.82 km (A-Maninagar to A-Chandkheda) > 6.0 km; Price 150.0 outside [315.00, 735.00]; Price 150.0 outside [225.00, 525.00]"
c-6-sarang-apartment-ambawadi-april25_1310,"Distance 7.38 km (A-Ranip to A-Ambawadi) > 6.0 km; Price 51.0 outside [111.00, 259.00]; Distance 7.30 km (A-Vaishnodevi to A-Ambawadi) > 6.0 km; Price 51.0 outside [144.00, 336.00]; Distance 6.95 km (A-Maninagar to A-Ambawadi) > 6.0 km; Price 51.0 outside [114.00, 266.00]; Price 51.0 outside [76.80, 179.20]; Distance 8.02 km (A-New Ranip to A-Ambawadi) > 6.0 km; Price 51.0 outside [81.00, 189.00]; Distance 9.72 km (A-Vatva to A-Ambawadi) > 6.0 km; Price 51.0 outside [174.00, 406.00]; Distance 6.75 km (A-Chandlodia to A-Ambawadi) > 6.0 km; Price 51.0 outside [102.00, 238.00]; Price 51.0 outside [270.00, 630.00]; Price 51.0 outside [99.00, 231.00]; Distance 9.17 km (A-Bapunagar to A-Ambawadi) > 6.0 km; Price 51.0 outside [93.00, 217.00]; Price 51.0 outside [195.00, 455.00]; Price 51.0 outside [150.00, 350.00]; Price 51.0 outside [240.00, 560.00]; Distance 12.43 km (A-Naroda to A-Ambawadi) > 6.0 km; Distance 8.94 km (A-Shela to A-Ambawadi) > 6.0 km; Price 51.0 outside [237.00, 553.00]; Distance 9.27 km (A-Ghuma to A-Ambawadi) > 6.0 km; Distance 9.79 km (A-Amraiwadi to A-Ambawadi) > 6.0 km; Price 51.0 outside [105.00, 245.00]; Distance 13.35 km (A-Nikol to A-Ambawadi) > 6.0 km; Distance 8.24 km (A-Bopal to A-Ambawadi) > 6.0 km; Price 51.0 outside [375.00, 875.00]; Price 51.0 outside [177.00, 413.00]; Price 51.0 outside [57.00, 133.00]; Price 51.0 outside [210.00, 490.00]; Distance 6.36 km (A-kankaria to A-Ambawadi) > 6.0 km; Distance 15.56 km (A-Hathijan to A-Ambawadi) > 6.0 km; Price 51.0 outside [168.00, 392.00]; Price 51.0 outside [90.00, 210.00]; Distance 11.03 km (A-Motera to A-Ambawadi) > 6.0 km"
a-5-bhuminagar-part-1-ghatlodia-jan25_779,"Distance 8.69 km (A-Bopal to A-Ghatlodia) > 6.0 km; Price 600.0 outside [174.00, 406.00]; Price 600.0 outside [72.00, 168.00]; Distance 7.96 km (A-Vasna to A-Ghatlodia) > 6.0 km; Price 600.0 outside [210.00, 490.00]; Price 600.0 outside [225.00, 525.00]; Price 600.0 outside [159.00, 371.00]; Price 600.0 outside [147.00, 343.00]; Price 600.0 outside [111.00, 259.00]; Distance 18.63 km (A-Sanand to A-Ghatlodia) > 6.0 km; Price 600.0 outside [102.00, 238.00]; Distance 14.07 km (A-Nava Naroda to A-Ghatlodia) > 6.0 km; Price 600.0 outside [106.80, 249.20]; Price 600.0 outside [198.00, 462.00]; Price 600.0 outside [237.00, 553.00]; Price 600.0 outside [150.00, 350.00]; Price 600.0 outside [76.80, 179.20]; Price 600.0 outside [186.60, 435.40]; Price 600.0 outside [135.00, 315.00]; Price 600.0 outside [52.20, 121.80]; Distance 7.17 km (A-Shilaj to A-Ghatlodia) > 6.0 km; Price 600.0 outside [195.00, 455.00]; Distance 25.27 km (G-Pethapur to A-Ghatlodia) > 6.0 km; Price 600.0 outside [108.00, 252.00]; Price 600.0 outside [78.00, 182.00]; Distance 12.09 km (A-Naroda to A-Ghatlodia) > 6.0 km; Price 600.0 outside [49.80, 116.20]; Distance 6.54 km (A-Shahibaug to A-Ghatlodia) > 6.0 km; Distance 12.43 km (A-Maninagar East to A-Ghatlodia) > 6.0 km; Distance 9.12 km (A-South Bopal to A-Ghatlodia) > 6.0 km; Price 600.0 outside [75.00, 175.00]; Distance 14.02 km (A-Nikol to A-Ghatlodia) > 6.0 km; Distance 7.65 km (A-Motera to A-Ghatlodia) > 6.0 km; Distance 6.32 km (A-Chandkheda to A-Ghatlodia) > 6.0 km; Price 600.0 outside [114.00, 266.00]; Distance 514.70 km (P-Pimple-saudagar to A-Ghatlodia) > 6.0 km; Distance 513.77 km (P-Rahatani to A-Ghatlodia) > 6.0 km; Distance 11.29 km (A-Maninagar to A-Ghatlodia) > 6.0 km; Price 600.0 outside [240.00, 560.00]; Price 600.0 outside [105.00, 245.00]"
21-bhaktirang-society-nikol-jan25_215,"Distance 20.61 km (A-Shilaj to A-Nikol) > 6.0 km; Distance 15.84 km (A-Science City to A-Nikol) > 6.0 km; Price 350.0 outside [106.80, 249.20]; Distance 9.09 km (A-Maninagar to A-Nikol) > 6.0 km; Price 350.0 outside [52.20, 121.80]; Price 350.0 outside [76.80, 179.20]; Price 350.0 outside [135.00, 315.00]; Distance 23.83 km (G-Pethapur to A-Nikol) > 6.0 km; Distance 14.62 km (A-Vastrapur to A-Nikol) > 6.0 km; Price 350.0 outside [114.00, 266.00]; Distance 10.14 km (A-Ranip to A-Nikol) > 6.0 km; Price 350.0 outside [373.80, 872.20]; Distance 12.31 km (A-Naranpura to A-Nikol) > 6.0 km; Price 350.0 outside [147.00, 343.00]; Distance 13.68 km (A-Vasna to A-Nikol) > 6.0 km; Price 350.0 outside [111.00, 259.00]; Distance 9.19 km (A-Motera to A-Nikol) > 6.0 km; Distance 7.58 km (A-Shahibaug to A-Nikol) > 6.0 km; Distance 12.30 km (A-New Ranip to A-Nikol) > 6.0 km; Distance 21.22 km (A-Bopal to A-Nikol) > 6.0 km; Distance 30.64 km (A-Sanand to A-Nikol) > 6.0 km; Distance 15.73 km (A-Satellite to A-Nikol) > 6.0 km; Price 350.0 outside [72.00, 168.00]; Distance 14.02 km (A-Ghatlodia to A-Nikol) > 6.0 km; Price 350.0 outside [78.00, 182.00]; Price 350.0 outside [49.80, 116.20]; Distance 10.91 km (A-Chandkheda to A-Nikol) > 6.0 km; Distance 17.49 km (A-Thaltej to A-Nikol) > 6.0 km; Distance 20.86 km (A-South Bopal to A-Nikol) > 6.0 km; Price 350.0 outside [105.00, 245.00]; Price 350.0 outside [102.00, 238.00]; Price 350.0 outside [33.60, 78.40]; Distance 16.46 km (A-Vejalpur to A-Nikol) > 6.0 km; Price 350.0 outside [108.00, 252.00]"
f-3-unique-city-homes-gota-aug24_1509,"Distance 13.98 km (A-Nava Naroda to A-Gota) > 6.0 km; Price 270.0 outside [300.00, 700.00]; Price 270.0 outside [114.00, 266.00]; Distance 8.94 km (A-Shilaj to A-Gota) > 6.0 km; Distance 10.91 km (A-Bopal to A-Gota) > 6.0 km; Distance 11.61 km (A-South Bopal to A-Gota) > 6.0 km; Distance 20.67 km (A-Sanand to A-Gota) > 6.0 km; Price 270.0 outside [336.60, 785.40]; Price 270.0 outside [105.00, 245.00]; Price 270.0 outside [111.00, 259.00]; Distance 8.26 km (A-Satellite to A-Gota) > 6.0 km; Price 270.0 outside [52.20, 121.80]; Price 270.0 outside [312.60, 729.40]; Distance 6.37 km (A-Motera to A-Gota) > 6.0 km; Distance 7.08 km (A-Thaltej to A-Gota) > 6.0 km; Price 270.0 outside [102.00, 238.00]; Distance 13.46 km (A-Maninagar to A-Gota) > 6.0 km; Distance 7.58 km (A-Shahibaug to A-Gota) > 6.0 km; Distance 12.11 km (A-Naroda to A-Gota) > 6.0 km; Price 270.0 outside [49.80, 116.20]; Price 270.0 outside [373.80, 872.20]; Price 270.0 outside [78.00, 182.00]; Price 270.0 outside [106.80, 249.20]; Distance 10.84 km (A-Vasna to A-Gota) > 6.0 km; Price 270.0 outside [108.00, 252.00]; Distance 7.21 km (A-Vastrapur to A-Gota) > 6.0 km; Price 270.0 outside [72.00, 168.00]; Distance 14.45 km (A-Maninagar East to A-Gota) > 6.0 km"
e-301-aakruti-elegance-gota-feb25_1452,"Distance 13.98 km (A-Nava Naroda to A-Gota) > 6.0 km; Price 85.0 outside [114.00, 266.00]; Distance 8.94 km (A-Shilaj to A-Gota) > 6.0 km; Price 85.0 outside [300.00, 700.00]; Distance 10.91 km (A-Bopal to A-Gota) > 6.0 km; Distance 11.61 km (A-South Bopal to A-Gota) > 6.0 km; Distance 20.67 km (A-Sanand to A-Gota) > 6.0 km; Price 85.0 outside [102.00, 238.00]; Price 85.0 outside [105.00, 245.00]; Price 85.0 outside [135.00, 315.00]; Price 85.0 outside [198.00, 462.00]; Price 85.0 outside [147.00, 343.00]; Distance 8.26 km (A-Satellite to A-Gota) > 6.0 km; Price 85.0 outside [195.00, 455.00]; Price 85.0 outside [270.00, 630.00]; Price 85.0 outside [312.60, 729.40]; Distance 6.37 km (A-Motera to A-Gota) > 6.0 km; Price 85.0 outside [108.00, 252.00]; Distance 7.08 km (A-Thaltej to A-Gota) > 6.0 km; Distance 10.87 km (A-Vejalpur to A-Gota) > 6.0 km; Price 85.0 outside [111.00, 259.00]; Price 85.0 outside [240.00, 560.00]; Price 85.0 outside [237.00, 553.00]; Price 85.0 outside [336.60, 785.40]; Price 85.0 outside [330.00, 770.00]; Distance 13.46 km (A-Maninagar to A-Gota) > 6.0 km; Distance 22.56 km (G-Pethapur to A-Gota) > 6.0 km; Distance 7.58 km (A-Shahibaug to A-Gota) > 6.0 km; Distance 12.11 km (A-Naroda to A-Gota) > 6.0 km; Price 85.0 outside [373.80, 872.20]; Price 85.0 outside [106.80, 249.20]; Distance 10.84 km (A-Vasna to A-Gota) > 6.0 km; Distance 14.40 km (A-Nikol to A-Gota) > 6.0 km; Price 85.0 outside [33.60, 78.40]; Price 85.0 outside [186.60, 435.40]; Distance 7.21 km (A-Vastrapur to A-Gota) > 6.0 km; Price 85.0 outside [174.00, 406.00]"
a-139-samatva-bunglows-shela-dec24_574,"Distance 14.54 km (A-New Ranip to A-Shela) > 6.0 km; Price 250.0 outside [106.80, 249.20]; Price 250.0 outside [52.20, 121.80]; Distance 11.40 km (A-Ghatlodia to A-Shela) > 6.0 km; Distance 18.76 km (A-Motera to A-Shela) > 6.0 km; Distance 10.93 km (A-Naranpura to A-Shela) > 6.0 km; Distance 6.87 km (A-Satellite to A-Shela) > 6.0 km; Price 250.0 outside [300.00, 700.00]; Distance 17.67 km (A-Chandkheda to A-Shela) > 6.0 km; Distance 8.41 km (A-Sanand to A-Shela) > 6.0 km; Distance 6.24 km (A-Shilaj to A-Shela) > 6.0 km; Distance 15.35 km (A-Shahibaug to A-Shela) > 6.0 km; Distance 8.17 km (A-Vastrapur to A-Shela) > 6.0 km; Price 250.0 outside [49.80, 116.20]; Distance 9.92 km (A-Science City to A-Shela) > 6.0 km; Price 250.0 outside [312.60, 729.40]; Price 250.0 outside [336.60, 785.40]; Distance 8.92 km (A-Vasna to A-Shela) > 6.0 km; Distance 23.22 km (A-Nava Naroda to A-Shela) > 6.0 km; Price 250.0 outside [78.00, 182.00]; Price 250.0 outside [102.00, 238.00]; Distance 16.23 km (A-Maninagar East to A-Shela) > 6.0 km; Distance 6.92 km (A-Thaltej to A-Shela) > 6.0 km; Price 250.0 outside [270.00, 630.00]; Price 250.0 outside [373.80, 872.20]; Distance 15.03 km (A-Ranip to A-Shela) > 6.0 km; Price 250.0 outside [105.00, 245.00]; Price 250.0 outside [72.00, 168.00]; Distance 14.86 km (A-Maninagar to A-Shela) > 6.0 km; Distance 21.31 km (A-Naroda to A-Shela) > 6.0 km"
c-303-sarvopari-elegance-new-ranip-dec24_1259,"Distance 10.00 km (A-Vasna to A-New Ranip) > 6.0 km; Distance 8.18 km (A-Satellite to A-New Ranip) > 6.0 km; Distance 10.14 km (A-Shilaj to A-New Ranip) > 6.0 km; Price 86.0 outside [106.80, 249.20]; Distance 10.03 km (A-Naroda to A-New Ranip) > 6.0 km; Distance 7.76 km (A-Thaltej to A-New Ranip) > 6.0 km; Distance 11.81 km (A-Bopal to A-New Ranip) > 6.0 km; Distance 11.92 km (A-Nava Naroda to A-New Ranip) > 6.0 km; Distance 22.27 km (G-Pethapur to A-New Ranip) > 6.0 km; Price 86.0 outside [174.00, 406.00]; Price 86.0 outside [240.00, 560.00]; Price 86.0 outside [186.60, 435.40]; Price 86.0 outside [373.80, 872.20]; Price 86.0 outside [105.00, 245.00]; Price 86.0 outside [237.00, 553.00]; Price 86.0 outside [198.00, 462.00]; Price 86.0 outside [114.00, 266.00]; Price 86.0 outside [195.00, 455.00]; Price 86.0 outside [312.60, 729.40]; Distance 6.95 km (A-Vastrapur to A-New Ranip) > 6.0 km; Distance 12.27 km (A-South Bopal to A-New Ranip) > 6.0 km; Price 86.0 outside [135.00, 315.00]; Price 86.0 outside [108.00, 252.00]; Price 86.0 outside [300.00, 700.00]; Price 86.0 outside [102.00, 238.00]; Distance 11.81 km (A-Maninagar to A-New Ranip) > 6.0 km; Price 86.0 outside [270.00, 630.00]; Price 86.0 outside [111.00, 259.00]; Price 86.0 outside [147.00, 343.00]; Price 86.0 outside [336.60, 785.40]; Distance 21.74 km (A-Sanand to A-New Ranip) > 6.0 km"
24-maniratnam-part-2-vasna-jan25_238,"Distance 12.35 km (A-Chandkheda to A-Vasna) > 6.0 km; Price 180.0 outside [300.00, 700.00]; Price 180.0 outside [373.80, 872.20]; Price 180.0 outside [270.00, 630.00]; Price 180.0 outside [240.00, 560.00]; Distance 17.33 km (A-Sanand to A-Vasna) > 6.0 km; Distance 7.96 km (A-Ghatlodia to A-Vasna) > 6.0 km; Price 180.0 outside [195.00, 455.00]; Distance 9.79 km (A-Shilaj to A-Vasna) > 6.0 km; Distance 10.00 km (A-New Ranip to A-Vasna) > 6.0 km; Price 180.0 outside [186.60, 435.40]; Distance 7.40 km (A-Maninagar East to A-Vasna) > 6.0 km; Price 180.0 outside [52.20, 121.80]; Distance 8.12 km (A-Science City to A-Vasna) > 6.0 km; Price 180.0 outside [72.00, 168.00]; Price 180.0 outside [49.80, 116.20]; Distance 6.01 km (A-Maninagar to A-Vasna) > 6.0 km; Distance 13.14 km (A-Naroda to A-Vasna) > 6.0 km; Price 180.0 outside [237.00, 553.00]; Distance 12.65 km (A-Motera to A-Vasna) > 6.0 km; Price 180.0 outside [210.00, 490.00]; Price 180.0 outside [312.60, 729.40]; Distance 7.74 km (A-Shahibaug to A-Vasna) > 6.0 km; Price 180.0 outside [336.60, 785.40]; Distance 14.91 km (A-Nava Naroda to A-Vasna) > 6.0 km; Distance 9.09 km (A-Bopal to A-Vasna) > 6.0 km; Price 180.0 outside [198.00, 462.00]; Distance 9.13 km (A-Ranip to A-Vasna) > 6.0 km; Distance 7.06 km (A-Thaltej to A-Vasna) > 6.0 km; Distance 8.14 km (A-South Bopal to A-Vasna) > 6.0 km"
27-trishla-residency-ghatlodia-may25_247,"Distance 8.69 km (A-Bopal to A-Ghatlodia) > 6.0 km; Price 265.0 outside [336.60, 785.40]; Distance 7.96 km (A-Vasna to A-Ghatlodia) > 6.0 km; Distance 18.63 km (A-Sanand to A-Ghatlodia) > 6.0 km; Price 265.0 outside [106.80, 249.20]; Price 265.0 outside [300.00, 700.00]; Distance 14.07 km (A-Nava Naroda to A-Ghatlodia) > 6.0 km; Distance 7.17 km (A-Shilaj to A-Ghatlodia) > 6.0 km; Price 265.0 outside [72.00, 168.00]; Price 265.0 outside [105.00, 245.00]; Distance 12.09 km (A-Naroda to A-Ghatlodia) > 6.0 km; Distance 6.54 km (A-Shahibaug to A-Ghatlodia) > 6.0 km; Price 265.0 outside [111.00, 259.00]; Price 265.0 outside [270.00, 630.00]; Price 265.0 outside [52.20, 121.80]; Distance 12.43 km (A-Maninagar East to A-Ghatlodia) > 6.0 km; Distance 9.12 km (A-South Bopal to A-Ghatlodia) > 6.0 km; Price 265.0 outside [373.80, 872.20]; Price 265.0 outside [108.00, 252.00]; Price 265.0 outside [102.00, 238.00]; Price 265.0 outside [78.00, 182.00]; Distance 7.65 km (A-Motera to A-Ghatlodia) > 6.0 km; Distance 6.32 km (A-Chandkheda to A-Ghatlodia) > 6.0 km; Price 265.0 outside [49.80, 116.20]; Price 265.0 outside [312.60, 729.40]; Distance 11.29 km (A-Maninagar to A-Ghatlodia) > 6.0 km"
b-62-63-dharmjivan-society-saijpur-bogha-feb25_1129,"Distance 16.71 km (A-South Bopal to A-Bapunagar) > 6.0 km; Distance 9.13 km (A-Chandkheda to A-Bapunagar) > 6.0 km; Distance 16.69 km (A-Shilaj to A-Bapunagar) > 6.0 km; Price 140.0 outside [198.00, 462.00]; Price 140.0 outside [174.00, 406.00]; Distance 10.54 km (A-Vastrapur to A-Bapunagar) > 6.0 km; Distance 9.49 km (A-New Ranip to A-Bapunagar) > 6.0 km; Distance 7.26 km (A-Ranip to A-Bapunagar) > 6.0 km; Price 140.0 outside [150.00, 350.00]; Distance 13.54 km (A-Thaltej to A-Bapunagar) > 6.0 km; Price 140.0 outside [336.60, 785.40]; Price 140.0 outside [373.80, 872.20]; Distance 10.53 km (A-Ghatlodia to A-Bapunagar) > 6.0 km; Price 140.0 outside [300.00, 700.00]; Price 140.0 outside [240.00, 560.00]; Price 140.0 outside [195.00, 455.00]; Price 140.0 outside [237.00, 553.00]; Price 140.0 outside [312.60, 729.40]; Distance 11.60 km (A-Satellite to A-Bapunagar) > 6.0 km; Price 140.0 outside [210.00, 490.00]; Price 140.0 outside [270.00, 630.00]; Price 140.0 outside [52.20, 121.80]; Price 140.0 outside [49.80, 116.20]; Distance 26.46 km (A-Sanand to A-Bapunagar) > 6.0 km; Price 140.0 outside [186.60, 435.40]; Distance 12.21 km (A-Science City to A-Bapunagar) > 6.0 km; Distance 7.90 km (A-Motera to A-Bapunagar) > 6.0 km; Distance 8.43 km (A-Naranpura to A-Bapunagar) > 6.0 km; Price 140.0 outside [147.00, 343.00]; Distance 17.14 km (A-Bopal to A-Bapunagar) > 6.0 km; Distance 9.49 km (A-Vasna to A-Bapunagar) > 6.0 km"
t-19-new-rajdeep-society-gurukul-feb25_1838,"Price 390.0 outside [105.00, 245.00]; Price 390.0 outside [102.00, 238.00]; Price 390.0 outside [106.80, 249.20]; Distance 6.68 km (A-Ranip to A-Gurukul) > 6.0 km; Distance 7.41 km (A-Shahibaug to A-Gurukul) > 6.0 km; Price 390.0 outside [22.20, 51.80]; Price 390.0 outside [108.00, 252.00]; Distance 14.86 km (A-Nikol to A-Gurukul) > 6.0 km; Distance 6.42 km (A-New Ranip to A-Gurukul) > 6.0 km; Distance 9.44 km (A-Chandkheda to A-Gurukul) > 6.0 km; Distance 9.02 km (A-kankaria to A-Gurukul) > 6.0 km; Price 390.0 outside [49.80, 116.20]; Distance 6.41 km (A-Bopal to A-Gurukul) > 6.0 km; Distance 13.44 km (A-Naroda to A-Gurukul) > 6.0 km; Price 390.0 outside [111.00, 259.00]; Price 390.0 outside [135.00, 315.00]; Price 390.0 outside [114.00, 266.00]; Distance 15.41 km (A-Nava Naroda to A-Gurukul) > 6.0 km; Distance 12.04 km (A-Ghodasar to A-Gurukul) > 6.0 km; Distance 9.79 km (A-Maninagar to A-Gurukul) > 6.0 km; Distance 11.11 km (A-Maninagar East to A-Gurukul) > 6.0 km; Price 390.0 outside [147.00, 343.00]; Price 390.0 outside [78.00, 182.00]; Distance 10.42 km (A-Motera to A-Gurukul) > 6.0 km; Distance 6.34 km (A-South Bopal to A-Gurukul) > 6.0 km; Price 390.0 outside [52.20, 121.80]; Distance 16.20 km (A-Sanand to A-Gurukul) > 6.0 km; Distance 510.81 km (P-Rahatani to A-Gurukul) > 6.0 km; Distance 12.74 km (A-Vatva to A-Gurukul) > 6.0 km; Price 390.0 outside [72.00, 168.00]"
b-7-gopalnagar-chandkheda-jan25_1130,"Distance 15.43 km (A-South Bopal to A-Chandkheda) > 6.0 km; Price 192.0 outside [78.00, 182.00]; Distance 8.09 km (A-Science City to A-Chandkheda) > 6.0 km; Distance 7.28 km (A-Naranpura to A-Chandkheda) > 6.0 km; Distance 14.99 km (A-Bopal to A-Chandkheda) > 6.0 km; Price 192.0 outside [300.00, 700.00]; Price 192.0 outside [373.80, 872.20]; Distance 24.91 km (A-Sanand to A-Chandkheda) > 6.0 km; Distance 6.32 km (A-Ghatlodia to A-Chandkheda) > 6.0 km; Price 192.0 outside [330.00, 770.00]; Distance 6.01 km (A-Shahibaug to A-Chandkheda) > 6.0 km; Price 192.0 outside [237.00, 553.00]; Distance 13.29 km (A-Shilaj to A-Chandkheda) > 6.0 km; Price 192.0 outside [270.00, 630.00]; Distance 8.35 km (A-Naroda to A-Chandkheda) > 6.0 km; Price 192.0 outside [198.00, 462.00]; Distance 10.02 km (A-Nava Naroda to A-Chandkheda) > 6.0 km; Price 192.0 outside [210.00, 490.00]; Distance 13.43 km (A-Maninagar East to A-Chandkheda) > 6.0 km; Price 192.0 outside [312.60, 729.40]; Price 192.0 outside [195.00, 455.00]; Price 192.0 outside [72.00, 168.00]; Price 192.0 outside [52.20, 121.80]; Distance 10.94 km (A-Thaltej to A-Chandkheda) > 6.0 km; Distance 9.87 km (A-Vastrapur to A-Chandkheda) > 6.0 km; Price 192.0 outside [49.80, 116.20]; Price 192.0 outside [336.60, 785.40]; Distance 11.15 km (A-Satellite to A-Chandkheda) > 6.0 km; Price 192.0 outside [22.20, 51.80]; Distance 10.91 km (A-Nikol to A-Chandkheda) > 6.0 km; Distance 12.35 km (A-Vasna to A-Chandkheda) > 6.0 km; Price 192.0 outside [201.00, 469.00]; Distance 12.82 km (A-Maninagar to A-Chandkheda) > 6.0 km; Distance 15.18 km (A-Ghodasar to A-Chandkheda) > 6.0 km; Price 192.0 outside [240.00, 560.00]"
c-901-swam-sky-gota-nov24_1336,"Distance 13.98 km (A-Nava Naroda to A-Gota) > 6.0 km; Price 125.0 outside [198.00, 462.00]; Distance 8.94 km (A-Shilaj to A-Gota) > 6.0 km; Price 125.0 outside [237.00, 553.00]; Distance 10.91 km (A-Bopal to A-Gota) > 6.0 km; Distance 11.61 km (A-South Bopal to A-Gota) > 6.0 km; Distance 20.67 km (A-Sanand to A-Gota) > 6.0 km; Price 125.0 outside [135.00, 315.00]; Price 125.0 outside [147.00, 343.00]; Distance 8.26 km (A-Satellite to A-Gota) > 6.0 km; Price 125.0 outside [52.20, 121.80]; Distance 6.37 km (A-Motera to A-Gota) > 6.0 km; Distance 7.08 km (A-Thaltej to A-Gota) > 6.0 km; Price 125.0 outside [240.00, 560.00]; Price 125.0 outside [300.00, 700.00]; Price 125.0 outside [49.80, 116.20]; Distance 13.46 km (A-Maninagar to A-Gota) > 6.0 km; Distance 22.56 km (G-Pethapur to A-Gota) > 6.0 km; Price 125.0 outside [270.00, 630.00]; Distance 12.11 km (A-Naroda to A-Gota) > 6.0 km; Distance 10.84 km (A-Vasna to A-Gota) > 6.0 km; Price 125.0 outside [373.80, 872.20]; Price 125.0 outside [195.00, 455.00]"
b-302-scarlet-heights-satellite-nov24_1020,"Price 165.0 outside [330.00, 770.00]; Price 165.0 outside [373.80, 872.20]; Distance 15.28 km (A-Odhav to A-Satellite) > 6.0 km; Price 165.0 outside [33.60, 78.40]; Distance 14.99 km (A-Sanand to A-Satellite) > 6.0 km; Distance 30.45 km (G-Pethapur to A-Satellite) > 6.0 km; Price 165.0 outside [300.00, 700.00]; Distance 11.15 km (A-Chandkheda to A-Satellite) > 6.0 km; Price 165.0 outside [52.20, 121.80]; Price 165.0 outside [270.00, 630.00]; Distance 8.27 km (A-Ranip to A-Satellite) > 6.0 km; Price 165.0 outside [237.00, 553.00]; Distance 9.65 km (A-Maninagar to A-Satellite) > 6.0 km; Price 165.0 outside [198.00, 462.00]; Distance 16.48 km (A-Nava Naroda to A-Satellite) > 6.0 km; Distance 14.54 km (A-Naroda to A-Satellite) > 6.0 km; Distance 8.18 km (A-New Ranip to A-Satellite) > 6.0 km; Price 165.0 outside [195.00, 455.00]; Price 165.0 outside [49.80, 116.20]; Distance 11.70 km (A-Ghodasar to A-Satellite) > 6.0 km; Distance 12.29 km (A-Vatva to A-Satellite) > 6.0 km; Price 165.0 outside [240.00, 560.00]; Price 165.0 outside [45.00, 105.00]; Price 165.0 outside [174.00, 406.00]; Distance 15.73 km (A-Nikol to A-Satellite) > 6.0 km; Distance 12.04 km (A-Motera to A-Satellite) > 6.0 km; Price 165.0 outside [201.00, 469.00]"
16-shivam-bunglow-sola-oct24_139,"Price 240.0 outside [402.00, 938.00]; Price 240.0 outside [72.00, 168.00]; Distance 16.79 km (A-Nava Naroda to A-Sola) > 6.0 km; Price 240.0 outside [255.00, 595.00]; Distance 521.53 km (P-Pashan to A-Sola) > 6.0 km; Distance 7.39 km (A-South Bopal to A-Sola) > 6.0 km; Distance 14.81 km (A-Naroda to A-Sola) > 6.0 km; Price 240.0 outside [49.80, 116.20]; Price 240.0 outside [300.00, 700.00]; Price 240.0 outside [375.00, 875.00]; Distance 13.22 km (A-Maninagar to A-Sola) > 6.0 km; Distance 10.14 km (A-Kalupur to A-Sola) > 6.0 km; Price 240.0 outside [78.00, 182.00]; Distance 9.06 km (A-Paldi to A-Sola) > 6.0 km; Price 240.0 outside [102.00, 238.00]; Distance 8.84 km (A-Vasna to A-Sola) > 6.0 km; Distance 9.18 km (A-Shahibaug to A-Sola) > 6.0 km; Distance 6.60 km (A-Bopal to A-Sola) > 6.0 km; Distance 16.38 km (A-Sanand to A-Sola) > 6.0 km; Price 240.0 outside [54.00, 126.00]; Distance 14.62 km (A-Isanpur to A-Sola) > 6.0 km; Distance 10.14 km (A-Motera to A-Sola) > 6.0 km; Price 240.0 outside [99.00, 231.00]; Distance 16.72 km (A-Nikol to A-Sola) > 6.0 km; Price 240.0 outside [52.20, 121.80]; Price 240.0 outside [312.60, 729.40]; Price 240.0 outside [373.80, 872.20]; Distance 8.61 km (A-Chandkheda to A-Sola) > 6.0 km; Price 240.0 outside [270.00, 630.00]"
