expired_tag,rejection_reasons
e-103-shivalik-sharda-park-view-shela-sept24_1437,"Distance 22.29 km (A-Nikol to A-Shela) > 6.0 km; Distance 11.40 km (A-Ghatlodia to A-Shela) > 6.0 km; Price 65.0 outside [19.20, 44.80]; Price 65.0 outside [66.00, 154.00]; Distance 21.19 km (A-Vastral to A-Shela) > 6.0 km; Distance 17.67 km (A-Chandkheda to A-Shela) > 6.0 km; Distance 14.00 km (A-Gota to A-Shela) > 6.0 km; Distance 21.46 km (A-Odhav to A-Shela) > 6.0 km; Distance 6.28 km (A-Vaishnodevi to A-Shela) > 6.0 km; Price 65.0 outside [24.00, 56.00]"
b-901-swastik-vivanta-south-bopal-feb25_1156,"Price 80.0 outside [240.00, 560.00]; Distance 6.34 km (A-Vastrapur to A-South Bopal) > 6.0 km; Price 80.0 outside [117.00, 273.00]; Distance 19.66 km (A-Naroda to A-South Bopal) > 6.0 km; Distance 9.00 km (A-Naranpura to A-South Bopal) > 6.0 km; Property_Type mismatch: None != Residential; Price 80.0 outside [246.00, 574.00]; Distance 15.43 km (A-Chandkheda to A-South Bopal) > 6.0 km; Distance 11.61 km (A-Gota to A-South Bopal) > 6.0 km; Distance 10.09 km (nan to A-South Bopal) > 6.0 km"
n-505-home-town-4-chandkheda-sep24_1714,"Price 27.0 outside [43.20, 100.80]; Distance 7.65 km (A-nana Childoa to A-Chandkheda) > 6.0 km; Price 27.0 outside [31.80, 74.20]; Price 27.0 outside [27.90, 65.10]; Price 27.0 outside [238.80, 557.20]; Distance 7.28 km (A-Naranpura to A-Chandkheda) > 6.0 km; Distance 8.35 km (A-Naroda to A-Chandkheda) > 6.0 km; Price 27.0 outside [39.00, 91.00]; Distance 10.91 km (A-Nikol to A-Chandkheda) > 6.0 km; Price 27.0 outside [27.60, 64.40]; Distance 6.01 km (A-Shahibaug to A-Chandkheda) > 6.0 km; Distance 12.35 km (A-Vasna to A-Chandkheda) > 6.0 km; Distance 9.13 km (A-Bapunagar to A-Chandkheda) > 6.0 km; Distance 10.02 km (A-Nava Naroda to A-Chandkheda) > 6.0 km; Distance 9.87 km (A-Vastrapur to A-Chandkheda) > 6.0 km; Price 27.0 outside [31.20, 72.80]; Price 27.0 outside [11.40, 26.60]; Price 27.0 outside [30.00, 70.00]"
p-404-ghanshyam-complex-chandlodia-april25_1723,"Price 30.5 outside [238.80, 557.20]; Price 30.5 outside [39.00, 91.00]; Distance 6.75 km (A-Ambawadi to A-Chandlodia) > 6.0 km; Price 30.5 outside [31.20, 72.80]; Price 30.5 outside [43.20, 100.80]; Price 30.5 outside [48.00, 112.00]; Price 30.5 outside [11.40, 26.60]; Price 30.5 outside [30.60, 71.40]; Distance 11.09 km (A-Naroda to A-Chandlodia) > 6.0 km; Distance 11.92 km (A-nana Childoa to A-Chandlodia) > 6.0 km; Distance 13.18 km (A-Nikol to A-Chandlodia) > 6.0 km; Distance 13.04 km (A-Nava Naroda to A-Chandlodia) > 6.0 km; Price 30.5 outside [31.80, 74.20]"
304-ansurya-park-nava-vadaj-dec24_303,"Price 37.0 outside [238.80, 557.20]; Distance 10.75 km (A-Nikol to A-Nava Vadaj) > 6.0 km; Price 37.0 outside [43.20, 100.80]; Price 37.0 outside [39.00, 91.00]; Distance 10.51 km (A-nana Childoa to A-Nava Vadaj) > 6.0 km; Distance 8.89 km (A-Naroda to A-Nava Vadaj) > 6.0 km; Price 37.0 outside [11.40, 26.60]; Price 37.0 outside [48.00, 112.00]; Distance 10.88 km (A-Nava Naroda to A-Nava Vadaj) > 6.0 km"
c-209-vinayak-city-chandlodia-sep24_1243,"Price 27.5 outside [27.60, 64.40]; Distance 9.95 km (A-Bapunagar to A-Chandlodia) > 6.0 km; Price 27.5 outside [11.40, 26.60]; Price 27.5 outside [33.00, 77.00]; Price 27.5 outside [238.80, 557.20]; Price 27.5 outside [39.00, 91.00]; Distance 13.04 km (A-Nava Naroda to A-Chandlodia) > 6.0 km; Price 27.5 outside [27.90, 65.10]; Price 27.5 outside [48.00, 112.00]; Price 27.5 outside [30.00, 70.00]; Distance 6.75 km (A-Ambawadi to A-Chandlodia) > 6.0 km; Distance 11.09 km (A-Naroda to A-Chandlodia) > 6.0 km; Distance 11.92 km (A-nana Childoa to A-Chandlodia) > 6.0 km; Price 27.5 outside [31.80, 74.20]; Distance 13.18 km (A-Nikol to A-Chandlodia) > 6.0 km; Price 27.5 outside [36.00, 84.00]; Price 27.5 outside [43.20, 100.80]; Price 27.5 outside [31.20, 72.80]; Distance 8.80 km (A-Vasna to A-Chandlodia) > 6.0 km"
b-601-serenity-satyam-south-bopal-oct24_1114,"Distance 9.62 km (A-Navrangpura to A-South Bopal) > 6.0 km; Distance 19.90 km (A-Adalaj to A-South Bopal) > 6.0 km; Distance 15.43 km (A-Chandkheda to A-South Bopal) > 6.0 km; Distance 12.29 km (A-Changodar to A-South Bopal) > 6.0 km; Price 80.0 outside [132.00, 308.00]; Price 80.0 outside [22.80, 53.20]; Distance 512.24 km (P-Mahalunge to A-South Bopal) > 6.0 km; Distance 9.12 km (A-Ghatlodia to A-South Bopal) > 6.0 km; Price 80.0 outside [14.40, 33.60]; Distance 10.54 km (A-Chandlodia to A-South Bopal) > 6.0 km; Distance 524.31 km (P-Manjari to A-South Bopal) > 6.0 km; Distance 519.91 km (P-Bhugaon to A-South Bopal) > 6.0 km; Price 80.0 outside [24.00, 56.00]; Distance 11.61 km (A-Gota to A-South Bopal) > 6.0 km; Distance 507.98 km (P-Pimpari to A-South Bopal) > 6.0 km"
a-4-anjay-apartment-thaltej-oct24_746,"Price 63.0 outside [27.00, 63.00]; Distance 6.35 km (nan to A-Thaltej) > 6.0 km; Price 63.0 outside [198.00, 462.00]; Property_Type mismatch: None != Residential; Distance 8.65 km (A-Ranip to A-Thaltej) > 6.0 km; Distance 7.08 km (A-Gota to A-Thaltej) > 6.0 km; Price 63.0 outside [171.00, 399.00]; Price 63.0 outside [174.00, 406.00]; Price 63.0 outside [222.00, 518.00]; Distance 9.99 km (A-Kalupur to A-Thaltej) > 6.0 km; Price 63.0 outside [24.00, 56.00]; Distance 12.37 km (A-Maninagar to A-Thaltej) > 6.0 km; Distance 15.17 km (A-Vatva to A-Thaltej) > 6.0 km; Distance 10.94 km (A-Chandkheda to A-Thaltej) > 6.0 km"
a-5-karmachari-nagar-part-2-ghatlodia-jan25_780,"Distance 11.29 km (A-Maninagar to A-Ghatlodia) > 6.0 km; Distance 8.69 km (A-Bopal to A-Ghatlodia) > 6.0 km; Distance 7.17 km (A-Shilaj to A-Ghatlodia) > 6.0 km; Price 455.99999999999994 outside [84.00, 196.00]; Distance 10.53 km (A-Bapunagar to A-Ghatlodia) > 6.0 km; Distance 12.43 km (A-Maninagar East to A-Ghatlodia) > 6.0 km; Price 455.99999999999994 outside [22.20, 51.80]; Price 455.99999999999994 outside [162.00, 378.00]; Price 455.99999999999994 outside [186.00, 434.00]"
9-shree-hari-vila-bunglows-dehgam-aug24_557,"Price 40.0 outside [162.00, 378.00]; Distance 28.56 km (A-Gota to G-Dahegam) > 6.0 km; Price 40.0 outside [246.00, 574.00]; Distance 25.94 km (A-Amraiwadi to G-Dahegam) > 6.0 km; Price 40.0 outside [207.00, 483.00]; Distance 29.96 km (A-SG Highway to G-Dahegam) > 6.0 km; Distance 19.50 km (A-Naroda to G-Dahegam) > 6.0 km; Price 40.0 outside [84.00, 196.00]; Distance 19.49 km (A-Nikol to G-Dahegam) > 6.0 km; Price 40.0 outside [240.00, 560.00]; Distance 23.36 km (A-Bapunagar to G-Dahegam) > 6.0 km; Price 40.0 outside [46.20, 107.80]; Distance 29.41 km (A-Navrangpura to G-Dahegam) > 6.0 km; Distance 37.12 km (A-Shilaj to G-Dahegam) > 6.0 km; Distance 38.52 km (A-Bopal to G-Dahegam) > 6.0 km; Price 40.0 outside [96.00, 224.00]; Price 40.0 outside [85.20, 198.80]"
