active_property_index,active_location,active_bhk,active_price_lakhs,active_area_sqft,expired_property_index,expired_location,expired_bhk,expired_price_lakhs,expired_area_sqft,days_since_expiry,similarity_score,final_score,price_difference_pct,urgency_level,suggested_message
1219,A-Nava Naroda,2.0,38.0,900.0,559,A-Nikol,3.0,42.0,550.0,192.0,0.8441,0.9441,10.53,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Nava Naroda at a premium price (₹42.0L vs ₹38.0L). This is very similar to your 3BHK property in A-Nikol. Would you like to renew your package to capture these leads?
2262,A-Gota,3.0,72.0,458.0,2263,A-Gota,3.0,65.0,478.0,29.0,0.9399,1.1109,9.72,High,"Hi! We're receiving active inquiries for a 3BHK property in A-Gota at a very similar price point (₹65.0L). This is very similar to your 3BHK property in A-Gota. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
2262,A-Gota,3.0,72.0,458.0,1113,A-Gota,3.0,89.0,1503.0,32.0,0.9098,1.0778,23.61,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-Gota at a premium price (₹89.0L vs ₹72.0L). This is very similar to your 3BHK property in A-Gota. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
2262,A-Gota,3.0,72.0,458.0,1179,A-Gota,2.0,90.0,1305.0,166.0,0.9238,1.0238,25.0,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Gota at a premium price (₹90.0L vs ₹72.0L). This is very similar to your 2BHK property in A-Gota. Would you like to renew your package to capture these leads?
2262,A-Gota,3.0,72.0,458.0,2223,A-Gota,3.0,75.5,620.0,211.0,0.9168,1.0168,4.86,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Gota at a very similar price point (₹75.5L). This is very similar to your 3BHK property in A-Gota. Would you like to renew your package to capture these leads?
2262,A-Gota,3.0,72.0,458.0,1505,A-Gota,3.0,84.0,1890.0,126.0,0.9017,1.0017,16.67,Low,Hi! We're receiving active inquiries for a 3BHK property in A-Gota at a premium price (₹84.0L vs ₹72.0L). This is very similar to your 3BHK property in A-Gota. Would you like to renew your package to capture these leads?
38,A-Nikol,4.0,295.0,1548.0,268,A-Nikol,3.0,350.0,1215.0,74.0,0.9042,1.0302,18.64,Medium,Hi! We're receiving active inquiries for a 4BHK property in A-Nikol at a premium price (₹350.0L vs ₹295.0L). This is very similar to your 3BHK property in A-Nikol. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
38,A-Nikol,4.0,295.0,1548.0,175,A-Motera,4.0,320.0,3150.0,9.0,0.8867,0.9777,8.47,High,"Hi! We're receiving active inquiries for a 4BHK property in A-Nikol at a very similar price point (₹320.0L). This is very similar to your 4BHK property in A-Motera. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
1897,A-New Ranip,3.0,65.0,1116.0,1921,A-Chandlodia,3.0,57.0,500.0,21.0,0.9111,1.0901,12.31,High,"Hi! We're receiving active inquiries for a 3BHK property in A-New Ranip at a slightly lower price (₹57.0L vs ₹65.0L). This is very similar to your 3BHK property in A-Chandlodia. Your listing expired recently, so this is a perfect time to renew! Would you like to renew your package to capture these leads?"
1897,A-New Ranip,3.0,65.0,1116.0,1029,A-Chandlodia,2.0,57.0,936.0,128.0,0.9869,1.0869,12.31,Low,Hi! We're receiving active inquiries for a 3BHK property in A-New Ranip at a slightly lower price (₹57.0L vs ₹65.0L). This is very similar to your 2BHK property in A-Chandlodia. Would you like to renew your package to capture these leads?
1897,A-New Ranip,3.0,65.0,1116.0,1248,A-Chandlodia,2.0,53.5,1215.0,80.0,0.9105,1.0305,17.69,Medium,Hi! We're receiving active inquiries for a 3BHK property in A-New Ranip at a slightly lower price (₹53.5L vs ₹65.0L). This is very similar to your 2BHK property in A-Chandlodia. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1897,A-New Ranip,3.0,65.0,1116.0,1124,A-New Ranip,3.0,65.0,510.0,168.0,0.8927,0.9927,0.0,Low,Hi! We're receiving active inquiries for a 3BHK property in A-New Ranip at a very similar price point (₹65.0L). This is very similar to your 3BHK property in A-New Ranip. Would you like to renew your package to capture these leads?
1897,A-New Ranip,3.0,65.0,1116.0,998,A-New Ranip,2.0,78.0,1170.0,168.0,0.8463,0.9463,20.0,Low,Hi! We're receiving active inquiries for a 3BHK property in A-New Ranip at a premium price (₹78.0L vs ₹65.0L). This is very similar to your 2BHK property in A-New Ranip. Would you like to renew your package to capture these leads?
1586,A-Chandkheda,1.0,31.0,765.0,1532,A-Chandkheda,2.0,38.0,990.0,120.0,0.973,1.073,22.58,Low,Hi! We're receiving active inquiries for a 1BHK property in A-Chandkheda at a premium price (₹38.0L vs ₹31.0L). This is very similar to your 2BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
1586,A-Chandkheda,1.0,31.0,765.0,1322,A-Chandkheda,2.0,36.5,1008.0,80.0,0.8324,0.9524,17.74,Medium,Hi! We're receiving active inquiries for a 1BHK property in A-Chandkheda at a premium price (₹36.5L vs ₹31.0L). This is very similar to your 2BHK property in A-Chandkheda. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1586,A-Chandkheda,1.0,31.0,765.0,2120,A-Chandkheda,1.0,27.0,999.0,260.0,0.8257,0.9257,12.9,Low,Hi! We're receiving active inquiries for a 1BHK property in A-Chandkheda at a slightly lower price (₹27.0L vs ₹31.0L). This is very similar to your 1BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
1586,A-Chandkheda,1.0,31.0,765.0,159,A-Motera,1.0,36.0,630.0,290.0,0.8549,0.8549,16.13,Low,Hi! We're receiving active inquiries for a 1BHK property in A-Chandkheda at a premium price (₹36.0L vs ₹31.0L). This is very similar to your 1BHK property in A-Motera. Would you like to renew your package to capture these leads?
1586,A-Chandkheda,1.0,31.0,765.0,1040,A-narol,2.0,30.0,900.0,219.0,0.8378,0.8378,3.23,Low,Hi! We're receiving active inquiries for a 1BHK property in A-Chandkheda at a very similar price point (₹30.0L). This is very similar to your 2BHK property in A-narol. Would you like to renew your package to capture these leads?
514,A-Sabarmati,5.0,240.0,1593.0,1261,A-Nava Vadaj,4.0,270.0,2250.0,203.0,0.8899,0.9899,12.5,Low,Hi! We're receiving active inquiries for a 5BHK property in A-Sabarmati at a premium price (₹270.0L vs ₹240.0L). This is very similar to your 4BHK property in A-Nava Vadaj. Would you like to renew your package to capture these leads?
514,A-Sabarmati,5.0,240.0,1593.0,279,A-Ghatlodia,5.0,225.0,1215.0,142.0,0.8535,0.8535,6.25,Low,Hi! We're receiving active inquiries for a 5BHK property in A-Sabarmati at a very similar price point (₹225.0L). This is very similar to your 5BHK property in A-Ghatlodia. Would you like to renew your package to capture these leads?
980,A-Gota,2.0,65.0,1305.0,1478,A-Gota,2.0,50.0,1035.0,207.0,0.9573,1.0573,23.08,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a slightly lower price (₹50.0L vs ₹65.0L). This is very similar to your 2BHK property in A-Gota. Would you like to renew your package to capture these leads?
980,A-Gota,2.0,65.0,1305.0,1212,A-Gota,2.0,50.0,1215.0,87.0,0.9122,1.0252,23.08,Medium,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a slightly lower price (₹50.0L vs ₹65.0L). This is very similar to your 2BHK property in A-Gota. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
980,A-Gota,2.0,65.0,1305.0,2198,A-Gota,3.0,75.0,625.0,152.0,0.8886,0.9886,15.38,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a premium price (₹75.0L vs ₹65.0L). This is very similar to your 3BHK property in A-Gota. Would you like to renew your package to capture these leads?
980,A-Gota,2.0,65.0,1305.0,1774,A-Gota,2.0,72.0,1278.0,187.0,0.8774,0.9774,10.77,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Gota at a premium price (₹72.0L vs ₹65.0L). This is very similar to your 2BHK property in A-Gota. Would you like to renew your package to capture these leads?
1329,A-Chandkheda,2.0,53.0,1224.0,1065,A-Chandkheda,2.0,51.0,1215.0,87.0,0.9928,1.1058,3.77,Medium,Hi! We're receiving active inquiries for a 2BHK property in A-Chandkheda at a very similar price point (₹51.0L). This is very similar to your 2BHK property in A-Chandkheda. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1329,A-Chandkheda,2.0,53.0,1224.0,1629,A-Chandkheda,2.0,50.0,1035.0,233.0,0.9484,1.0484,5.66,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Chandkheda at a very similar price point (₹50.0L). This is very similar to your 2BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
1329,A-Chandkheda,2.0,53.0,1224.0,1842,A-Chandkheda,2.0,63.0,1125.0,40.0,0.869,1.029,18.87,Medium,Hi! We're receiving active inquiries for a 2BHK property in A-Chandkheda at a premium price (₹63.0L vs ₹53.0L). This is very similar to your 2BHK property in A-Chandkheda. There's still strong market interest in properties like yours. Would you like to renew your package to capture these leads?
1329,A-Chandkheda,2.0,53.0,1224.0,1318,A-Chandkheda,2.0,42.0,1035.0,108.0,0.8547,0.9547,20.75,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Chandkheda at a slightly lower price (₹42.0L vs ₹53.0L). This is very similar to your 2BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
1329,A-Chandkheda,2.0,53.0,1224.0,1589,A-Chandkheda,2.0,51.0,954.0,142.0,0.8449,0.9449,3.77,Low,Hi! We're receiving active inquiries for a 2BHK property in A-Chandkheda at a very similar price point (₹51.0L). This is very similar to your 2BHK property in A-Chandkheda. Would you like to renew your package to capture these leads?
